log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2017-05-30 07:27:50,2017-05-30 07:27:50,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:30:14,2017-05-30 07:30:14,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:30:44,2017-05-30 07:30:44,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:31:34,2017-05-30 07:31:34,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:31:51,2017-05-30 07:31:51,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:32:27,2017-05-30 07:32:27,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:33:49,2017-05-30 07:33:49,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:34:26,2017-05-30 07:34:26,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:35:04,2017-05-30 07:35:04,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:38:47,2017-05-30 07:38:47,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:38:58,2017-05-30 07:38:58,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:39:39,2017-05-30 07:39:39,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:39:50,2017-05-30 07:39:50,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:40:25,2017-05-30 07:40:25,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:40:42,2017-05-30 07:40:42,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:41:42,2017-05-30 07:41:42,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:42:13,2017-05-30 07:42:13,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:43:01,2017-05-30 07:43:01,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
